# AI Agent Memory Frameworks — repo list
# Format: github_url | layer | memory_class | architecture | license | maturity
# Used by the GitHub Actions workflow to fetch live stats + enrich with static metadata.

https://github.com/mem0ai/mem0                   | Framework | Personalization + some institutional | Vector + Graph                        | Apache 2.0  | Production
https://github.com/vectorize-io/hindsight         | Framework | Both (strong institutional)          | Multi-strategy hybrid                 | MIT         | Production
https://github.com/letta-ai/letta                 | Framework | Both                                 | Tiered (OS-inspired)                  | Apache 2.0  | Production
https://github.com/getzep/zep                     | Framework | Both (temporal focus)                | Temporal knowledge graph              | Mixed       | Production
https://github.com/getzep/graphiti                | Framework | Both (temporal focus)                | Temporal knowledge graph              | Apache 2.0  | Production
https://github.com/topoteretes/cognee             | Framework | Institutional                        | Knowledge graph + vector              | Apache 2.0  | Production
https://github.com/supermemoryai/supermemory       | Framework | Personalization + some institutional | Memory + RAG hybrid                   | MIT         | Production
https://github.com/langchain-ai/langmem            | Framework | Personalization                      | Key-value + vector                    | MIT         | Production
https://github.com/run-llama/llama_index           | Framework | Personalization                      | Composable buffers                    | MIT         | Production
https://github.com/microsoft/autogen               | Framework | Both (implicit memory)               | Agent + retrieval hybrid              | MIT         | Production
https://github.com/deepset-ai/haystack             | Framework | Institutional                        | RAG pipeline-based                    | Apache 2.0  | Production
https://github.com/rohitg00/agentmemory            | Framework | Coding agents                        | Hybrid (KG + vector + lifecycle)      | Apache 2.0  | Emerging
https://github.com/MemPalace/mempalace             | Framework | Personalization (verbatim-heavy)     | Structured + vector (verbatim)        | MIT         | Emerging
https://github.com/RBKunnela/ALMA-memory           | Framework | Personalization                      | Scoped learning + anti-patterns       | MIT         | Emerging
https://github.com/rishimeka/genesys               | Framework | Both                                 | Causal knowledge graph (ACT-R)        | MIT         | Emerging
https://github.com/matrixorigin/Memoria            | Infra     | Personalization + coding agents      | Versioned semantic memory (git-style) | Apache 2.0  | Emerging
https://github.com/MemTensor/MemOS                 | Infra     | Both (shared systems)                | OS-style unified memory               | Apache 2.0  | Emerging
https://github.com/MehulG/memX                     | Infra     | Personalization + infra              | Local-first (DB-style)                | MIT         | Emerging
https://github.com/chroma-core/chroma              | Infra     | None (storage layer)                 | Vector database                       | Apache 2.0  | Production
https://github.com/MemTensor/MemFactory            | Research  | Both                                 | RL-driven modular (GRPO)              | Apache 2.0  | Research
https://github.com/dolthub/dolt                    | Infra     | Both                                 | Version-controlled relational DB      | Apache 2.0  | Production
https://github.com/vstorm-co/memv                  | Framework | Both                                 | Bi-temporal + delta-based memory      | MIT         | Experimental
https://github.com/raia-live/amfs                  | Framework | Both                                 | Versioned + feedback-driven memory    | Unknown     | Emerging
https://memstate.ai                                | Platform  | Both                                 | Versioned state memory (fact-based)   | Proprietary | Emerging
https://github.com/EverMind-AI/EverOS              | Framework | Multi-type taxonomy                  | MongoDB + ES + Milvus + Redis         | None        | Emerging
